"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","Login with valid credentials","chromium","Sun Dec 29 17:20:49 UTC 2024","passed","Sun Dec 29 17:20:49 UTC 2024","Login Tests","e2e.spec.js","",""
"","108","Validate delivery address details","chromium","Sun Dec 29 18:10:53 UTC 2024","passed","Sun Dec 29 18:10:54 UTC 2024","Login Tests","e2e.spec.js","",""
"","126","Validate product data on Cart","chromium","Sun Dec 29 18:10:53 UTC 2024","passed","Sun Dec 29 18:10:53 UTC 2024","Login Tests","e2e.spec.js","",""
"","303","Verify homepage is displayed after click continue at Complete Order","chromium","Sun Dec 29 18:10:56 UTC 2024","passed","Sun Dec 29 18:10:56 UTC 2024","Login Tests","e2e.spec.js","",""
"","2139","Proceed Complete Order","chromium","Sun Dec 29 17:20:59 UTC 2024","passed","Sun Dec 29 17:21:02 UTC 2024","Login Tests","e2e.spec.js","",""
"","347","Able to proceed to Payment","chromium","Sun Dec 29 18:10:54 UTC 2024","passed","Sun Dec 29 18:10:54 UTC 2024","Login Tests","e2e.spec.js","",""
"","585","Proceed Checkout","chromium","Sun Dec 29 17:20:58 UTC 2024","passed","Sun Dec 29 17:20:58 UTC 2024","Login Tests","e2e.spec.js","",""
"","2278","Add product to cart","chromium","Sun Dec 29 17:20:55 UTC 2024","passed","Sun Dec 29 17:20:57 UTC 2024","Login Tests","e2e.spec.js","",""
"","112","Validate product data on Homepage","chromium","Sun Dec 29 18:10:53 UTC 2024","passed","Sun Dec 29 18:10:53 UTC 2024","Login Tests","e2e.spec.js","",""
"","128","Validate product data on Checkout","chromium","Sun Dec 29 18:10:54 UTC 2024","passed","Sun Dec 29 18:10:54 UTC 2024","Login Tests","e2e.spec.js","",""
"","552","Test able to Proceed Checkout","chromium","Sun Dec 29 18:10:53 UTC 2024","passed","Sun Dec 29 18:10:53 UTC 2024","Login Tests","e2e.spec.js","",""
"","602","Proceed Payment","chromium","Sun Dec 29 17:20:59 UTC 2024","passed","Sun Dec 29 17:20:59 UTC 2024","Login Tests","e2e.spec.js","",""
"","1341","Able to add product to cart","chromium","Sun Dec 29 18:10:51 UTC 2024","passed","Sun Dec 29 18:10:53 UTC 2024","Login Tests","e2e.spec.js","",""
"","125","Validate billing address details","chromium","Sun Dec 29 18:10:54 UTC 2024","passed","Sun Dec 29 18:10:54 UTC 2024","Login Tests","e2e.spec.js","",""
"","1359","Able to proceed to Complete Order","chromium","Sun Dec 29 18:10:54 UTC 2024","passed","Sun Dec 29 18:10:56 UTC 2024","Login Tests","e2e.spec.js","",""
"","196","Able to login with valid credentials","chromium","Sun Dec 29 18:10:49 UTC 2024","passed","Sun Dec 29 18:10:49 UTC 2024","Login Tests","e2e.spec.js","",""
